 ! , 0
 $ , 37
 & , 62
 ' , 48374
 '' , 53564
 '87 , 70461
 '87/88 , 70474
 'at , 70487
 'bankrupt , 70500
 'd , 70513
 'event' , 70673
 'full , 70686
 'give , 70699
 'growth , 70712
 'let , 70726
 'liber , 70739
 'll , 70752
 'm , 71080
 'no , 71363
 'old , 71376
 'protection , 71389
 're , 71413
 's , 72281
 'sourc , 103684
 'sugarcan , 103698
 'take , 103712
 'target , 103736
 'teishoku , 103749
 'the , 103762
 've , 103775
 'we , 104294
 ( , 104308
 ) , 117372
 * , 130438
 +1.8 , 130476
 +10.1 , 130489
 +12.5 , 130502
 +12.8 , 130515
 +13.5 , 130528
 +13.7 , 130541
 +2.4 , 130554
 +2.8 , 130567
 +3.4 , 130580
 +5.6 , 130593
 +7.7 , 130606
 +9.8 , 130619
 +bahia , 130632
 , , 130642
 ,100 , 192754
 - , 192766
 -- , 197962
 -0.6 , 200818
 -0.90 , 200831
 -1.10 , 200844
 -10.0 , 200857
 -10.4 , 200870
 -11.7 , 200883
 -137 , 200896
 -14.2 , 200910
 -2.0 , 200923
 -2.8 , 200936
 -6.3 , 200949
 -7.1 , 200962
 -8.7 , 200975
 -aci , 200988
 -agenc , 201002
 -announc , 201015
 -banker , 201029
 -base , 201042
 -daimler-puch , 201054
 -dealer , 201067
 -franc , 201080
 -grower , 201093
 -iri , 201106
 -ivori , 201119
 -laval , 201132
 -led , 201144
 -micropro , 201182
 -minist , 201195
 -offici , 201209
 -radiat , 201222
 . , 201236
 .. , 270605
 ... , 270732
 .... , 272268
 ..... , 272393
 ...... , 272431
 ....... , 272471
 ........ , 272485
 ......... , 272523
 .......... , 272549
 ........... , 272587
 ............ , 272613
 .............. , 272639
 ................ , 272653
 ................. , 272667
 .................... , 272681
 .......................................... , 272695
 .000 , 272709
 .029 , 272723
 .059 , 272736
 .06 , 272749
 .062 , 272763
 .063 , 272787
 .067 , 272800
 .068 , 272813
 .0687 , 272826
 .0840 , 272839
 .125 , 272852
 .19 , 272863
 .237 , 272876
 .3322 , 272889
 .99 , 272901
 .999 , 272914
 .current , 272927
 .forecast , 272941
 /exxon , 272955
 /oapec/opec , 272968
 /ompani , 272981
 /southmark , 272994
 0 , 273008
 0-92 , 273124
 0.006913 , 273137
 0.006916 , 273151
 0.007050 , 273165
 0.007100 , 273179
 0.007150 , 273193
 0.01 , 273207
 0.015 , 273230
 0.020 , 273244
 0.025 , 273258
 0.026 , 273270
 0.03 , 273283
