(1, 529)
(5, 162)
(6, 272)
(9, 70)
(10, 245)
(11, 63)
(12, 159)
(13, 119)
(14, 48)
(18, 281)
(19, 100)
(22, 39)
(23, 228)
(24, 80)
(27, 76)
(29, 112)
(30, 26)
(36, 26)
(37, 73)
(38, 55)
(40, 106)
(41, 97)
(42, 107)
(44, 97)
(45, 438)
(46, 122)
(47, 219)
(48, 49)
(49, 88)
(50, 46)
(53, 23)
(56, 203)
(57, 101)
(58, 73)
(59, 239)
(64, 61)
(65, 49)
(66, 85)
(68, 67)
(69, 106)
(71, 24)
(74, 118)
(75, 86)
(76, 28)
(77, 28)
(78, 26)
(80, 85)
(81, 112)
(82, 83)
(83, 47)
(85, 24)
(86, 22)
(87, 45)
(89, 23)
(92, 30)
(93, 47)
(94, 30)
(95, 34)
(96, 84)
(97, 345)
(98, 54)
(99, 2)
(100, 94)
(101, 2)
(102, 2)
(103, 2)
(104, 147)
(105, 200)
(106, 28)
(108, 25)
(109, 501)
(110, 663)
(111, 100)
(113, 94)
(121, 126)
(123, 136)
(124, 78)
(125, 125)
(126, 55)
(127, 109)
(128, 53)
(129, 12)
(130, 168)
(132, 2)
(133, 2)
(134, 49)
(135, 118)
(136, 276)
(138, 65)
(139, 22)
(140, 59)
(142, 30)
(143, 24)
(144, 508)
(145, 217)
(146, 49)
(147, 92)
(151, 49)
(152, 24)
(153, 118)
(157, 184)
(160, 82)
(162, 51)
(163, 23)
(164, 63)
(165, 30)
(166, 23)
(167, 61)
(168, 49)
(169, 70)
(176, 342)
(179, 547)
(180, 469)
(183, 45)
(185, 45)
(186, 37)
(187, 52)
(189, 30)
(191, 70)
(193, 141)
(194, 79)
(196, 27)
(197, 151)
(198, 186)
(199, 110)
(200, 515)
(201, 48)
(202, 75)
(203, 685)
(209, 773)
(210, 119)
(211, 107)
(212, 76)
(213, 189)
(214, 134)
(216, 2)
(220, 190)
(221, 188)
(225, 313)
(227, 457)
(228, 99)
(229, 230)
(232, 501)
(233, 129)
(235, 520)
(236, 526)
(237, 498)
(241, 96)
(242, 165)
(246, 359)
(247, 543)
(248, 394)
(249, 162)
(253, 82)
(254, 127)
(256, 226)
(259, 161)
(260, 183)
(267, 93)
(271, 108)
(272, 130)
(273, 429)
(274, 196)
(275, 405)
(279, 166)
(281, 130)
(283, 26)
(284, 97)
(290, 111)
(293, 120)
(296, 93)
(297, 191)
(298, 30)
(299, 73)
(302, 484)
(303, 255)
(304, 210)
(307, 98)
(309, 228)
(310, 96)
(311, 801)
(312, 109)
(313, 302)
(314, 112)
(315, 102)
(317, 212)
(320, 118)
(322, 235)
(323, 128)
(327, 286)
(330, 274)
(331, 379)
(332, 32)
(334, 120)
(336, 37)
(338, 88)
(341, 79)
(342, 631)
(343, 34)
(345, 108)
(346, 205)
(349, 115)
(352, 121)
(353, 114)
(354, 288)
(356, 493)
(361, 117)
(362, 612)
(366, 164)
(368, 123)
(369, 125)
(371, 129)
(372, 582)
(374, 167)
(376, 47)
(377, 122)
(378, 61)
(379, 73)
(381, 112)
(383, 22)
(387, 100)
(388, 63)
(389, 132)
(390, 299)
(392, 22)
(393, 286)
(395, 94)
(396, 32)
(398, 20)
(399, 54)
(400, 22)
(401, 156)
(402, 116)
(404, 60)
(405, 41)
(406, 36)
(407, 42)
(408, 197)
(409, 97)
(410, 28)
(411, 169)
(416, 109)
(417, 4)
(418, 30)
(420, 84)
(422, 159)
(423, 26)
(424, 139)
(425, 106)
(435, 209)
(436, 94)
(438, 41)
(439, 41)
(440, 24)
(441, 163)
(442, 84)
(443, 127)
(444, 92)
(447, 73)
(448, 312)
(449, 98)
(450, 91)
(455, 20)
(456, 56)
(459, 30)
(461, 24)
(464, 30)
(466, 42)
(467, 62)
(470, 25)
(473, 191)
(474, 106)
(475, 109)
(478, 113)
(480, 79)
(483, 46)
(484, 46)
(486, 62)
(488, 109)
(489, 164)
(490, 114)
(494, 53)
(496, 560)
(497, 90)
(498, 65)
(501, 232)
(502, 218)
(504, 210)
(505, 125)
(506, 23)
(508, 24)
(509, 25)
(511, 22)
(512, 24)
(513, 25)
(514, 24)
(516, 150)
(517, 24)
(518, 160)
(519, 20)
(521, 24)
(522, 55)
(524, 119)
(525, 330)
(528, 45)
(529, 23)
(530, 125)
(531, 31)
(532, 80)
(533, 45)
(534, 35)
(535, 41)
(536, 23)
(538, 93)
(539, 29)
(541, 51)
(543, 105)
(544, 115)
(545, 295)
(546, 24)
(547, 104)
(548, 26)
(550, 141)
(551, 146)
(552, 58)
